Deviations,EmotionCount,NumberWord,SucRate,Time2ans,True Value,Final Crisp Value
2.00,31.00,2.00,2.67,17.08,-1,3.65
5.00,34.00,5.00,2.50,28.03,-1,3.67
3.00,106.00,1.00,1.33,19.27,-1,3.56
7.00,85.00,3.00,3.85,13.19,-1,4.19
15.00,116.00,6.00,2.63,26.03,-1,3.66
3.00,131.00,7.00,4.00,27.29,1,3.54
5.00,103.00,1.00,1.33,13.39,0,4.26
6.00,131.00,11.00,3.89,27.18,0,3.54
1.00,25.00,2.00,10.00,9.71,1,5.50
5.00,28.00,5.00,3.68,13.45,-1,4.25
5.00,168.00,3.00,3.16,23.73,-1,3.60
0.00,0.00,1.00,1.33,9.13,-1,4.32
0.00,0.00,1.00,2.00,14.78,-1,3.83
0.00,0.00,1.00,2.00,11.61,-1,4.41
2.00,2.00,2.00,10.00,26.78,1,5.50
12.00,2.00,2.00,2.14,36.67,-1,3.63
17.00,0.00,2.00,7.33,9.89,1,4.52
13.00,25.00,3.00,1.88,62.75,-1,3.61
18.00,0.00,1.00,7.14,8.62,1,4.54
19.00,85.00,2.00,10.00,13.51,1,5.50
1.00,3.00,2.00,10.00,9.99,1,5.50
2.00,2.00,4.00,6.97,13.69,1,4.45
5.00,0.00,3.00,1.78,11.92,-1,4.40
4.00,2.00,6.00,2.33,19.20,-1,3.65
4.00,0.00,1.00,10.00,10.74,1,5.50
7.00,0.00,2.00,10.00,10.27,1,5.50
3.00,4.00,2.00,10.00,10.53,1,5.50
5.00,6.00,5.00,3.86,23.99,0,3.55
0.00,0.00,-8.00,3.92,29.71,0,3.54
1.00,55.00,2.00,10.00,29.79,1,5.50
9.00,8.00,4.00,1.00,21.93,-1,3.54
17.00,6.00,8.00,2.53,15.07,-1,3.67
5.00,37.00,3.00,2.67,33.15,-1,3.65
6.00,0.00,1.00,7.14,7.64,1,4.54
14.00,32.00,2.00,9.33,11.36,1,4.91
5.00,30.00,3.00,2.38,22.30,-1,3.66
11.00,0.00,1.00,7.14,14.28,1,4.46
14.00,5.00,2.00,9.33,16.92,1,4.88
